"","source","type","bp_length","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000100226.15","HAVANA","gene",8166,NA,"ENSG00000100226.15","protein_coding","GTPBP1","1","OTTHUMG00000151002.4","overlapping_locus",0.739414936183991,6.07284624746672,8.61335322663989,0.00011900366661799,0.000463087214374993,0.924103815361523
"ENSG00000048162.20","HAVANA","gene",2862,NA,"ENSG00000048162.20","protein_coding","NOP16","1","OTTHUMG00000163186.5",NA,0.80109444409539,4.93655627509269,8.61333418195242,0.000119005173293722,0.000463087214374993,1.09772507153937
"ENSG00000162813.17","HAVANA","gene",3113,NA,"ENSG00000162813.17","protein_coding","BPNT1","1","OTTHUMG00000037435.5",NA,-1.44731072457732,3.27926915012258,-8.61192827301766,0.000119116459158442,0.000463464545022292,1.46018123496109
"ENSG00000166886.12","HAVANA","gene",3010,NA,"ENSG00000166886.12","protein_coding","NAB2","2","OTTHUMG00000171192.1",NA,-1.14757077737275,4.49188029438433,-8.61138010888926,0.000119159881998687,0.00046357777169874,1.20319895842458
"ENSG00000198768.10","HAVANA","gene",3942,NA,"ENSG00000198768.10","protein_coding","APCDD1L","2","OTTHUMG00000032845.4",NA,-3.76807034216107,0.270389124373893,-8.61100303169439,0.000119189762762317,0.000463638293605418,1.88943797044321
"ENSG00000277182.1","HAVANA","gene",2098,NA,"ENSG00000277182.1","antisense","CTB-58E17.5","2","OTTHUMG00000188502.1",NA,3.1106447551494,0.459705645172336,8.60855940674789,0.000119383612402598,0.000464336549657207,1.87364546058001
"ENSG00000111801.15","HAVANA","gene",5658,NA,"ENSG00000111801.15","protein_coding","BTN3A3","2","OTTHUMG00000014451.5",NA,-5.57313572739175,-0.232192183323624,-8.60773636705251,0.000119448984790287,0.000464534992153309,1.77610319499412
"ENSG00000174106.2","HAVANA","gene",5562,NA,"ENSG00000174106.2","protein_coding","LEMD3","2","OTTHUMG00000168840.2","overlapping_locus",0.940352416901527,5.54691970173328,8.60439580999259,0.000119714741986722,0.000465467565546439,0.99500099478338
"ENSG00000198932.12","HAVANA","gene",6340,NA,"ENSG00000198932.12","protein_coding","GPRASP1","2","OTTHUMG00000022061.2","retrogene",-2.33618628939257,0.681369765581706,-8.6043606269377,0.000119717544586447,0.000465467565546439,1.85396252921578
"ENSG00000185800.11","HAVANA","gene",5658,NA,"ENSG00000185800.11","protein_coding","DMWD","1","OTTHUMG00000169044.3","overlapping_locus",0.658423721397382,6.238993906506,8.60367573833769,0.000119772116258636,0.000465623812041741,0.893162073418512
"ENSG00000234840.1","HAVANA","gene",2568,NA,"ENSG00000234840.1","lincRNA","LINC01239","2","OTTHUMG00000019696.1","overlapping_locus",-5.6995149605519,-0.946987778135326,-8.60290613655388,0.000119833472022867,0.000465806391549919,1.71747301575263
"ENSG00000259080.1","HAVANA","gene",1741,NA,"ENSG00000259080.1","processed_transcript","RP11-158I13.2","2","OTTHUMG00000171804.1","overlapping_locus",-1.33419546762909,3.50751211142879,-8.60117357110811,0.00011997173162387,0.000466157717699543,1.40131656930578
"ENSG00000123364.4","HAVANA","gene",2423,NA,"ENSG00000123364.4","protein_coding","HOXC13","2","OTTHUMG00000160008.3",NA,4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000229970.3","HAVANA","gene",1853,NA,"ENSG00000229970.3","antisense","AC007128.1","2","OTTHUMG00000185587.1","overlapping_locus",4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000254369.6","HAVANA","gene",5967,NA,"ENSG00000254369.6","antisense","HOXA-AS3","2","OTTHUMG00000158092.4","overlapping_locus",4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000283431.1","HAVANA","gene",2127,NA,"ENSG00000283431.1","unprocessed_pseudogene","RP11-1217F2.22","2","OTTHUMG00000191810.1",NA,4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000253706.5","HAVANA","gene",3611,NA,"ENSG00000253706.5","antisense","RP11-758M4.4","2","OTTHUMG00000164543.1","overlapping_locus",4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000235510.1","HAVANA","gene",227,NA,"ENSG00000235510.1","unprocessed_pseudogene","BX842568.1","1","OTTHUMG00000024023.1","pseudo_consens",4.44396254763573,-1.85593625756301,8.60051083405268,0.000120024666933638,0.000466157717699543,1.67650144797701
"ENSG00000184206.11","HAVANA","gene",6065,NA,"ENSG00000184206.11","protein_coding","GOLGA6L4","2","OTTHUMG00000163050.2",NA,-2.00995146879586,1.20097168632335,-8.59887176838248,0.000120155700830504,0.00046661064480885,1.7976184048718
"ENSG00000181264.8","HAVANA","gene",4468,NA,"ENSG00000181264.8","protein_coding","TMEM136","2","OTTHUMG00000166142.1",NA,-2.02063122697837,1.77838557827141,-8.59812714643363,0.000120215283485932,0.000466786023977045,1.72713457274954
"ENSG00000242193.10","HAVANA","gene",5538,NA,"ENSG00000242193.10","transcribed_unitary_pseudogene","RP11-568K15.1","2","OTTHUMG00000154878.3","overlapping_locus",-5.38710840104404,-0.307319461136738,-8.59784825060316,0.000120237608739832,0.00046681671101006,1.76898221958635
"ENSG00000274322.1","HAVANA","gene",1375,NA,"ENSG00000274322.1","protein_coding","RP11-314N13.10","2","OTTHUMG00000186553.2","overlapping_locus",1.89766761456403,5.38685739677739,8.5960972972885,0.000120377879416516,0.000467305253172677,1.03734719657339
"ENSG00000172840.6","HAVANA","gene",8364,NA,"ENSG00000172840.6","protein_coding","PDP2","2","OTTHUMG00000137512.8",NA,1.15063297483471,4.12261252387326,8.59552120065947,0.000120424072297221,0.000467367531910295,1.244567058931
"ENSG00000179943.7","HAVANA","gene",6790,NA,"ENSG00000179943.7","protein_coding","FIZ1","1","OTTHUMG00000180858.4",NA,1.18790654338727,4.18055589741252,8.59543503875935,0.000120430982729914,0.000467367531910295,1.234123698454
"ENSG00000114316.12","HAVANA","gene",6659,NA,"ENSG00000114316.12","protein_coding","USP4","1","OTTHUMG00000156825.2","overlapping_locus",-1.1741496105118,5.15847838131073,-8.59528386943705,0.000120443108048432,0.000467367531910295,1.06981127931232
"ENSG00000198046.11","HAVANA","gene",8810,NA,"ENSG00000198046.11","protein_coding","ZNF667","1","OTTHUMG00000181941.4",NA,2.73531756443072,1.55639699371331,8.59517702179938,0.000120451679164474,0.000467367531910295,1.75842400773172
"ENSG00000086827.8","HAVANA","gene",2992,NA,"ENSG00000086827.8","protein_coding","ZW10","2","OTTHUMG00000168190.1","overlapping_locus",-0.987479923832295,4.12397281045835,-8.59492989785027,0.000120471505672255,0.000467388432889794,1.256814646997
"ENSG00000168496.3","HAVANA","gene",2478,NA,"ENSG00000168496.3","protein_coding","FEN1","1","OTTHUMG00000168162.4","overlapping_locus",1.01485253593023,5.02259548760674,8.59338599112541,0.000120595456864738,0.000467761732192243,1.0718671353708
"ENSG00000272636.3","HAVANA","gene",6448,NA,"ENSG00000272636.3","protein_coding","DOC2B","2","OTTHUMG00000154415.4",NA,4.07810904437581,-0.0917296500242351,8.59337141243999,0.000120596628001244,0.000467761732192243,1.87188432013382
"ENSG00000129862.6","HAVANA","gene",550,NA,"ENSG00000129862.6","protein_coding","VCY1B","2","OTTHUMG00000036402.1",NA,8.11752377268298,-0.0156166601259959,8.59297984593326,0.000120628088262925,0.000467827697207568,1.72914395398597
"ENSG00000255585.3","HAVANA","gene",5276,NA,"ENSG00000255585.3","transcribed_processed_pseudogene","RP11-188C12.2","1","OTTHUMG00000020996.3","pseudo_consens",1.87836520411543,2.69106414186522,8.5919389256403,0.000120711766563757,0.000468096137550698,1.55229164428924
"ENSG00000189171.14","HAVANA","gene",2216,NA,"ENSG00000189171.14","protein_coding","S100A13","2","OTTHUMG00000036641.4","overlapping_locus",-1.25018264006906,4.24578725403757,-8.59153323339413,0.000120744397761556,0.000468166586816726,1.24075521207925
"ENSG00000144712.11","HAVANA","gene",5478,NA,"ENSG00000144712.11","protein_coding","CAND2","1","OTTHUMG00000155397.4","overlapping_locus",1.44366499932629,3.69679507862543,8.59003175569919,0.000120865255063699,0.000468579060474525,1.33638632202847
"ENSG00000274211.4","HAVANA","gene",8621,NA,"ENSG00000274211.4","protein_coding","SOCS7","2","OTTHUMG00000188546.2",NA,0.80172420308297,4.81401034534466,8.58882147881997,0.000120962774343524,0.000468900967658824,1.10057624801488
"ENSG00000165475.13","HAVANA","gene",2196,NA,"ENSG00000165475.13","protein_coding","CRYL1","2","OTTHUMG00000016516.2","ncRNA_host",-2.86039638109238,-0.0507845847188841,-8.58811542786305,0.00012101970694881,0.000469040875779399,1.87462397995835
"ENSG00000125844.15","HAVANA","gene",6980,NA,"ENSG00000125844.15","protein_coding","RRBP1","2","OTTHUMG00000031945.11",NA,-0.706728121577327,9.40461127249186,-8.58801449368852,0.000121027848322712,0.000469040875779399,0.472989029535617
"ENSG00000205885.7","HAVANA","gene",6094,NA,"ENSG00000205885.7","antisense","C1RL-AS1","1","OTTHUMG00000168164.1","ncRNA_host",-3.5802513828404,0.19101857690985,-8.5869453357723,0.000121114125574613,0.000469319049036165,1.87372395462845
"ENSG00000225511.6","HAVANA","gene",3858,NA,"ENSG00000225511.6","lincRNA","LINC00475","2","OTTHUMG00000020216.2",NA,2.0480908199028,1.03283084027032,8.58368511473438,0.000121377651347938,0.00047028391415251,1.79353478282809
"ENSG00000145907.14","HAVANA","gene",12406,NA,"ENSG00000145907.14","protein_coding","G3BP1","2","OTTHUMG00000130123.3",NA,-0.642388775404867,7.53056554866898,-8.57788087164005,0.000121848447614025,0.000472051532300511,0.705038944163771
"ENSG00000260966.1","HAVANA","gene",5113,NA,"ENSG00000260966.1","sense_overlapping","RP11-690D19.3","2","OTTHUMG00000173208.1",NA,-2.46879164041817,0.750278376235063,-8.57278820798497,0.000122263258147438,0.000473586207937888,1.82998561804138
"ENSG00000014914.20","HAVANA","gene",4562,NA,"ENSG00000014914.20","protein_coding","MTMR11","2","OTTHUMG00000012207.7",NA,-1.80404672158051,2.55397813546602,-8.57265844550791,0.000122273848854947,0.000473586207937888,1.58120903209115
"ENSG00000254333.1","HAVANA","gene",368,NA,"ENSG00000254333.1","lincRNA","NDST1-AS1","2","OTTHUMG00000163588.1",NA,2.31663912537247,1.46976336685916,8.57216065518419,0.000122314486358827,0.000473686922046245,1.74180626639054
"ENSG00000150051.13","HAVANA","gene",4106,NA,"ENSG00000150051.13","protein_coding","MKX","2","OTTHUMG00000017862.4",NA,3.52123306582923,0.00590813074287139,8.57085936120731,0.000122420791986117,0.000473820084556927,1.86350389220642
"ENSG00000114520.10","HAVANA","gene",2709,NA,"ENSG00000114520.10","protein_coding","SNX4","2","OTTHUMG00000159575.3",NA,0.822943914456661,5.28046315060248,8.57066212540177,0.00012243691390303,0.000473820084556927,1.00903031516586
"ENSG00000241749.4","HAVANA","gene",2035,NA,"ENSG00000241749.4","transcribed_processed_pseudogene","RPSAP52","1","OTTHUMG00000157608.3","pseudo_consens",-4.36510270720376,-1.62017148168138,-8.57047354798619,0.000122452330374919,0.000473820084556927,1.67388529788949
"ENSG00000252714.1","ENSEMBL","gene",112,NA,"ENSG00000252714.1","rRNA","RNA5SP392","3",NA,NA,-4.36510270720376,-1.62017148168138,-8.57047354798619,0.000122452330374919,0.000473820084556927,1.67388529788949
"ENSG00000165138.17","HAVANA","gene",8846,NA,"ENSG00000165138.17","protein_coding","ANKS6","1","OTTHUMG00000020347.3",NA,0.803501412252828,4.87461543333363,8.57030860420094,0.000122465816596139,0.000473820084556927,1.076024940035
"ENSG00000137745.11","HAVANA","gene",2834,NA,"ENSG00000137745.11","protein_coding","MMP13","1","OTTHUMG00000165850.2",NA,-4.52644952291632,-1.53656672191374,-8.57029072343483,0.000122467278675547,0.000473820084556927,1.67789176147188
"ENSG00000139209.15","HAVANA","gene",4145,NA,"ENSG00000139209.15","protein_coding","SLC38A4","1","OTTHUMG00000169518.4",NA,-4.52644952291632,-1.53656672191374,-8.57029072343483,0.000122467278675547,0.000473820084556927,1.67789176147188
"ENSG00000230479.1","HAVANA","gene",893,NA,"ENSG00000230479.1","antisense","AP000695.6","2","OTTHUMG00000086643.1","overlapping_locus",-4.52644952291632,-1.53656672191374,-8.57029072343483,0.000122467278675547,0.000473820084556927,1.67789176147188
"ENSG00000134809.8","HAVANA","gene",777,NA,"ENSG00000134809.8","protein_coding","TIMM10","2","OTTHUMG00000167039.1",NA,1.38702913907533,3.70834820371232,8.57012759755295,0.00012248061812555,0.000473820084556927,1.31759876398989
"ENSG00000230373.8","HAVANA","gene",3899,NA,"ENSG00000230373.8","transcribed_unprocessed_pseudogene","GOLGA6L5P","1","OTTHUMG00000148659.2","overlapping_locus",-2.12494062384676,1.06353353053651,-8.56953468152673,0.000122529117310708,0.000473951059884442,1.79361120449754
"ENSG00000134057.14","HAVANA","gene",2558,NA,"ENSG00000134057.14","protein_coding","CCNB1","1","OTTHUMG00000097817.4",NA,0.685431473952598,5.73786653642333,8.56757302889552,0.000122689733693439,0.000474515629130033,0.936500559662024
"ENSG00000196396.9","HAVANA","gene",4041,NA,"ENSG00000196396.9","protein_coding","PTPN1","2","OTTHUMG00000032729.3","ncRNA_host",-0.698544803543331,5.93886548802963,-8.56508568954413,0.000122893740949658,0.000475247862253112,0.911542988917551
"ENSG00000259673.5","HAVANA","gene",6732,NA,"ENSG00000259673.5","lincRNA","IQCH-AS1","2","OTTHUMG00000172247.1",NA,2.20482479632164,1.10962621764986,8.56396476277079,0.000122985805050974,0.000475510989708204,1.77462704770229
"ENSG00000184898.6","HAVANA","gene",4717,NA,"ENSG00000184898.6","protein_coding","RBM43","2","OTTHUMG00000131866.2",NA,-2.18645822003296,1.26706016515784,-8.56389954105658,0.000122991164293039,0.000475510989708204,1.77034067436226
"ENSG00000163466.15","HAVANA","gene",6562,NA,"ENSG00000163466.15","protein_coding","ARPC2","1","OTTHUMG00000133618.4",NA,-0.656231295821996,8.39111418402495,-8.562832384102,0.000123078890350422,0.000475793326509312,0.58318601761979
"ENSG00000109670.13","HAVANA","gene",10287,NA,"ENSG00000109670.13","protein_coding","FBXW7","2","OTTHUMG00000185246.3","ncRNA_host",0.884374894353765,5.12574057723414,8.56192231124658,0.000123153760161954,0.000476025902665647,1.02826154534873
"ENSG00000105497.7","HAVANA","gene",7396,NA,"ENSG00000105497.7","protein_coding","ZNF175","1","OTTHUMG00000167771.4",NA,-1.71858556505409,2.6526775952918,-8.55792262902149,0.000123483427938875,0.000477243175585134,1.54933397021296
"ENSG00000136802.11","HAVANA","gene",5230,NA,"ENSG00000136802.11","protein_coding","LRRC8A","1","OTTHUMG00000020766.3",NA,-0.943227573365792,6.37391217885019,-8.55740527496349,0.000123526144225946,0.000477351269854992,0.84779818866123
"ENSG00000170382.11","HAVANA","gene",5681,NA,"ENSG00000170382.11","protein_coding","LRRN2","2","OTTHUMG00000035989.2",NA,4.51749825818886,-1.81983878022922,8.55639540600782,0.000123609574930424,0.00047738870317957,1.65519174960521
"ENSG00000250111.3","HAVANA","gene",1300,NA,"ENSG00000250111.3","unprocessed_pseudogene","AC107982.4","2","OTTHUMG00000059405.2","overlapping_locus",4.51749825818886,-1.81983878022922,8.55639540600782,0.000123609574930424,0.00047738870317957,1.65519174960521
"ENSG00000180532.10","HAVANA","gene",2249,NA,"ENSG00000180532.10","protein_coding","ZSCAN4","2","OTTHUMG00000183474.1",NA,4.51749825818886,-1.81983878022922,8.55639540600782,0.000123609574930424,0.00047738870317957,1.65519174960521
"ENSG00000204581.2","HAVANA","gene",3432,NA,"ENSG00000204581.2","antisense","ACOXL-AS1","1","OTTHUMG00000153643.1",NA,4.51749825818886,-1.81983878022922,8.55639540600782,0.000123609574930424,0.00047738870317957,1.65519174960521
"ENSG00000122592.7","HAVANA","gene",2411,NA,"ENSG00000122592.7","protein_coding","HOXA7","2","OTTHUMG00000023217.8",NA,4.51749825818886,-1.81983878022922,8.55639540600782,0.000123609574930424,0.00047738870317957,1.65519174960521
"ENSG00000267041.5","HAVANA","gene",7850,NA,"ENSG00000267041.5","protein_coding","ZNF850","2","OTTHUMG00000180899.1",NA,1.68194970194333,2.49185958894001,8.55611308084836,0.000123632910931592,0.000477421863640392,1.55603232977606
"ENSG00000106823.12","HAVANA","gene",4916,NA,"ENSG00000106823.12","protein_coding","ECM2","2","OTTHUMG00000020226.2","ncRNA_host",-3.211428735652,0.547332202739653,-8.55535027211366,0.000123695987377352,0.000477608459910549,1.84297460783974
"ENSG00000162687.16","HAVANA","gene",7100,NA,"ENSG00000162687.16","protein_coding","KCNT2","2","OTTHUMG00000035611.3","ncRNA_host",-5.02484287752838,-0.489584143565593,-8.5545122177938,0.000123765328573499,0.000477819197908758,1.74024246911756
"ENSG00000244491.1","HAVANA","gene",461,NA,"ENSG00000244491.1","antisense","RP3-508I15.18","1","OTTHUMG00000151086.1","overlapping_locus",-4.15811123816825,0.808839733305401,-8.55404759965272,0.000123803790682024,0.000477910685366219,1.84585751834786
"ENSG00000229142.1","HAVANA","gene",980,NA,"ENSG00000229142.1","unprocessed_pseudogene","HCG4P8","2","OTTHUMG00000130505.1",NA,3.3937387625648,-0.42214877833041,8.55370524474475,0.000123832140377254,0.000477955739617169,1.84246433283931
"ENSG00000203811.1","HAVANA","gene",1656,NA,"ENSG00000203811.1","protein_coding","HIST2H3C","2","OTTHUMG00000012190.1",NA,2.87219008570342,-0.0727789963567749,8.55355004396917,0.000123844994691337,0.000477955739617169,1.8516010244344
"ENSG00000176566.4","HAVANA","gene",3326,NA,"ENSG00000176566.4","protein_coding","DCAF4L2","2","OTTHUMG00000163767.1","retrogene",5.20139185315389,-0.696673504595612,8.55325630602973,0.000123869327381348,0.000477992654825877,1.73402284149747
"ENSG00000132963.7","HAVANA","gene",1428,NA,"ENSG00000132963.7","protein_coding","POMP","2","OTTHUMG00000016652.2",NA,-1.47441709369028,5.25686711953923,-8.55172260625517,0.000123996465566963,0.000478426224516803,1.03140382375234
"ENSG00000131791.7","HAVANA","gene",5460,NA,"ENSG00000131791.7","protein_coding","PRKAB2","2","OTTHUMG00000014032.3",NA,-0.635733534321031,6.18165901917553,-8.55151681103747,0.000124013536677571,0.000478435060212113,0.865879908365553
"ENSG00000103528.16","HAVANA","gene",7538,NA,"ENSG00000103528.16","protein_coding","SYT17","1","OTTHUMG00000131461.5","overlapping_locus",5.68265488796315,-0.452988767077937,8.55130552973644,0.000124031065684222,0.000478445660119995,1.73938924400472
"ENSG00000135823.13","HAVANA","gene",6477,NA,"ENSG00000135823.13","protein_coding","STX6","2","OTTHUMG00000035179.1","overlapping_locus",-0.804452016038476,4.84332458604007,-8.55092878369738,0.000124062329592965,0.000478509233110712,1.07975203360289
"ENSG00000244694.7","HAVANA","gene",5177,NA,"ENSG00000244694.7","protein_coding","PTCHD4","2","OTTHUMG00000150404.2",NA,-5.88436956307995,-0.069294581189702,-8.54965681817499,0.000124167949471448,0.000478859548253526,1.74591310662936
"ENSG00000158987.20","HAVANA","gene",11125,NA,"ENSG00000158987.20","protein_coding","RAPGEF6","1","OTTHUMG00000162683.6","overlapping_locus",-1.28916790833088,4.22911325552782,-8.54891970542547,0.000124229204290024,0.000479038704367345,1.21410700444725
"ENSG00000172057.9","HAVANA","gene",3752,NA,"ENSG00000172057.9","protein_coding","ORMDL3","1","OTTHUMG00000133249.3",NA,-1.08543534882368,4.63510980594413,-8.54789261485629,0.000124314614576391,0.000479310952305972,1.12581517640566
"ENSG00000213236.3","HAVANA","gene",728,NA,"ENSG00000213236.3","processed_pseudogene","YWHAZP2","1","OTTHUMG00000153373.1","pseudo_consens",-1.14577740426857,3.79089130496056,-8.54488430868257,0.000124565167029628,0.000480219786376251,1.29296164899639
"ENSG00000169756.16","HAVANA","gene",7771,NA,"ENSG00000169756.16","protein_coding","LIMS1","2","OTTHUMG00000130983.11",NA,-0.911137865100375,6.71885856758915,-8.54435901128593,0.000124608977006311,0.000480293171282399,0.790085304983256
"ENSG00000227295.2","HAVANA","gene",1906,NA,"ENSG00000227295.2","processed_pseudogene","ELL2P1","1","OTTHUMG00000022442.1","pseudo_consens",-3.82402259801805,0.300937331676195,-8.54412237863332,0.000124628718042538,0.000480293171282399,1.84605060179631
"ENSG00000168899.4","HAVANA","gene",819,NA,"ENSG00000168899.4","protein_coding","VAMP5","2","OTTHUMG00000130169.2",NA,-3.82402259801805,0.300937331676195,-8.54412237863332,0.000124628718042538,0.000480293171282399,1.84605060179631
"ENSG00000277103.1","HAVANA","gene",801,NA,"ENSG00000277103.1","processed_pseudogene","RP11-520B13.8","1","OTTHUMG00000187832.1","pseudo_consens",7.08161272922124,-0.533099918005945,8.54325999631064,0.000124700692607174,0.000480513335512978,1.69434531638472
"ENSG00000108256.8","HAVANA","gene",10850,NA,"ENSG00000108256.8","protein_coding","NUFIP2","2","OTTHUMG00000179547.2",NA,-0.669183281386718,6.97104779572969,-8.53971948569136,0.000124996686101546,0.000481596564186984,0.74964788144406
"ENSG00000108465.14","HAVANA","gene",6070,NA,"ENSG00000108465.14","protein_coding","CDK5RAP3","1","OTTHUMG00000178682.3","overlapping_locus",-0.803614110139454,5.02539314319258,-8.53914725915021,0.00012504460122544,0.000481723833904431,1.03857102862909
"ENSG00000070882.12","HAVANA","gene",8100,NA,"ENSG00000070882.12","protein_coding","OSBPL3","2","OTTHUMG00000023277.7","overlapping_locus",-1.07442221796865,5.25869730567352,-8.53331336280275,0.00012553430837615,0.0004835528375008,1.00207199203894
"ENSG00000091127.13","HAVANA","gene",4421,NA,"ENSG00000091127.13","protein_coding","PUS7","2","OTTHUMG00000157399.2",NA,0.799112134897693,5.17619177348116,8.53254994335805,0.000125598554307413,0.000483742742244447,0.996357360181944
"ENSG00000177732.8","HAVANA","gene",4630,NA,"ENSG00000177732.8","protein_coding","SOX12","2","OTTHUMG00000031623.4",NA,1.1696081089578,6.33308834752761,8.53057749898577,0.000125764721617992,0.00048432510521489,0.828566385748211
"ENSG00000016082.14","HAVANA","gene",2882,NA,"ENSG00000016082.14","protein_coding","ISL1","2","OTTHUMG00000162281.10",NA,5.2853094096407,-0.631116904688354,8.52955612418356,0.000125850866126412,0.000484599195191495,1.72244470804807
"ENSG00000107984.9","HAVANA","gene",2206,NA,"ENSG00000107984.9","protein_coding","DKK1","2","OTTHUMG00000018247.1",NA,-4.46578149790684,0.820775944478744,-8.52874885782303,0.000125919000421143,0.000484609905710947,1.83273463316943
"ENSG00000196136.17","HAVANA","gene",5007,NA,"ENSG00000196136.17","protein_coding","SERPINA3","2","OTTHUMG00000029851.7","overlapping_locus",-4.41845692277938,-1.59439810844035,-8.52846484709558,0.000125942981379986,0.000484609905710947,1.652456450157
"ENSG00000273259.3","HAVANA","gene",3067,NA,"ENSG00000273259.3","protein_coding","RP11-986E7.7","2","OTTHUMG00000186018.1","overlapping_locus",-4.41845692277938,-1.59439810844035,-8.52846484709558,0.000125942981379986,0.000484609905710947,1.652456450157
"ENSG00000233138.1","HAVANA","gene",349,NA,"ENSG00000233138.1","antisense","RP1-67K17.3","2","OTTHUMG00000015715.1",NA,-4.41845692277938,-1.59439810844035,-8.52846484709558,0.000125942981379986,0.000484609905710947,1.652456450157
"ENSG00000261385.1","HAVANA","gene",357,NA,"ENSG00000261385.1","antisense","RP11-388M20.2","2","OTTHUMG00000176749.1",NA,5.10694197279154,-1.526572602986,8.52810441456953,0.000125973422721574,0.000484609905710947,1.65546623823381
"ENSG00000205922.4","HAVANA","gene",8318,NA,"ENSG00000205922.4","protein_coding","ONECUT3","2","OTTHUMG00000172429.1",NA,5.10694197279154,-1.526572602986,8.52810441456953,0.000125973422721574,0.000484609905710947,1.65546623823381
"ENSG00000267220.1","HAVANA","gene",283,NA,"ENSG00000267220.1","transcribed_unprocessed_pseudogene","CTC-260E6.9","2","OTTHUMG00000180743.1","overlapping_locus",5.10694197279154,-1.526572602986,8.52810441456953,0.000125973422721574,0.000484609905710947,1.65546623823381
"ENSG00000282381.1","HAVANA","gene",598,NA,"ENSG00000282381.1","lincRNA","RP11-328P23.4","2","OTTHUMG00000191393.1","overlapping_locus",5.10694197279154,-1.526572602986,8.52810441456953,0.000125973422721574,0.000484609905710947,1.65546623823381
"ENSG00000249207.1","HAVANA","gene",946,NA,"ENSG00000249207.1","antisense","RP11-360F5.1","2","OTTHUMG00000160443.1",NA,-4.06733922916424,0.430036885235717,-8.52681481039559,0.00012608240925371,0.000484971529735481,1.83475321665615
"ENSG00000272367.1","HAVANA","gene",925,NA,"ENSG00000272367.1","antisense","CTC-428H11.2","2","OTTHUMG00000185537.1",NA,-1.58466300139021,2.15857252442857,-8.52406883641173,0.000126314837773061,0.0004858078266443,1.6029825337697
"ENSG00000224677.1","HAVANA","gene",158,NA,"ENSG00000224677.1","unprocessed_pseudogene","PDIA3P2","2","OTTHUMG00000059904.1",NA,2.2307643747503,1.59638016996062,8.52349537915089,0.000126363439369433,0.000485937009089914,1.68846988491919
"ENSG00000101076.16","HAVANA","gene",7311,NA,"ENSG00000101076.16","protein_coding","HNF4A","1","OTTHUMG00000032531.6","ncRNA_host",8.15345526763992,-0.0040288785974566,8.52309376555822,0.000126397489704274,0.000486010209877398,1.69046288832716
"ENSG00000251333.3","HAVANA","gene",711,NA,"ENSG00000251333.3","processed_pseudogene","RTN3P1","1","OTTHUMG00000161594.2","pseudo_consens",-1.94853415333448,2.21764381166165,-8.52132908055522,0.000126547231661304,0.00048652818558179,1.6047307511335
"ENSG00000154146.12","HAVANA","gene",1309,NA,"ENSG00000154146.12","protein_coding","NRGN","2","OTTHUMG00000165928.3",NA,1.65091040579218,3.01530312505041,8.51663446205387,0.000126946587748375,0.000487971107431797,1.42716293504673
"ENSG00000135900.3","HAVANA","gene",1748,NA,"ENSG00000135900.3","protein_coding","MRPL44","2","OTTHUMG00000133164.2",NA,1.09984672712538,4.79430180504638,8.51656284980253,0.000126952690795945,0.000487971107431797,1.05526387319795
"ENSG00000165140.9","HAVANA","gene",1739,NA,"ENSG00000165140.9","protein_coding","FBP1","2","OTTHUMG00000020268.1",NA,5.4712205032818,-0.537864577795017,8.51508239506776,0.000127078936043841,0.000488398361656026,1.71665522025826
"ENSG00000261586.2","HAVANA","gene",2094,NA,"ENSG00000261586.2","lincRNA","RP11-923I11.6","2","OTTHUMG00000175692.2",NA,5.37179200833123,-1.3944957820201,8.51210610559041,0.000127333175617768,0.000489259286371784,1.65248378726186
"ENSG00000215572.2","HAVANA","gene",1257,NA,"ENSG00000215572.2","processed_pseudogene","ESRRAP1","1","OTTHUMG00000016495.1","overlapping_locus",5.37179200833123,-1.3944957820201,8.51210610559041,0.000127333175617768,0.000489259286371784,1.65248378726186
"ENSG00000151883.17","HAVANA","gene",10056,NA,"ENSG00000151883.17","protein_coding","PARP8","1","OTTHUMG00000096969.8",NA,-3.63195295899635,-0.0322526221110218,-8.5114538996402,0.000127388966309457,0.000489415556261664,1.82027315665168
"ENSG00000162337.11","HAVANA","gene",6164,NA,"ENSG00000162337.11","protein_coding","LRP5","1","OTTHUMG00000167570.1",NA,-0.755315383677936,6.15497169789109,-8.51086438424008,0.000127439418568122,0.000489551281772249,0.840096408459035
"ENSG00000127588.4","HAVANA","gene",984,NA,"ENSG00000127588.4","protein_coding","GNG13","2","OTTHUMG00000047839.3",NA,4.95337060272321,-1.60315541294509,8.51010906219843,0.000127504094607541,0.000489683499555873,1.64202954085815
